ts,total_bytes
2026-03-11 20:27:30,1
2026-03-11 20:27:45,0
2026-03-11 20:28:00,0
2026-03-11 20:28:15,0
2026-03-11 20:28:30,0
2026-03-11 20:28:45,0
2026-03-11 20:29:00,0
2026-03-11 20:29:15,0
2026-03-11 20:29:30,0
2026-03-11 20:29:45,0
2026-03-11 20:30:00,0
2026-03-11 20:30:15,0
2026-03-11 20:30:30,0
2026-03-11 20:30:45,0
2026-03-11 20:31:00,0
2026-03-11 20:31:15,0
2026-03-11 20:31:30,0
2026-03-11 20:31:45,0
2026-03-11 20:32:00,0
2026-03-11 20:32:15,0
2026-03-11 20:32:30,0
2026-03-11 20:32:45,0
2026-03-11 20:33:00,0
2026-03-11 20:33:15,0
2026-03-11 20:33:30,0
2026-03-11 20:33:45,0
2026-03-11 20:34:00,0
2026-03-11 20:34:15,0
2026-03-11 20:34:30,1
2026-03-11 20:34:45,0
2026-03-11 20:35:00,0
2026-03-11 20:35:15,0
2026-03-11 20:35:30,0
2026-03-11 20:35:45,0
2026-03-11 20:36:00,0
2026-03-11 20:36:15,0
2026-03-11 20:36:30,0
2026-03-11 20:36:45,0
2026-03-11 20:37:00,0
2026-03-11 20:37:15,0
2026-03-11 20:37:30,0
2026-03-11 20:37:45,0
2026-03-11 20:38:00,0
2026-03-11 20:38:15,0
2026-03-11 20:38:30,0
2026-03-11 20:38:45,0
2026-03-11 20:39:00,0
2026-03-11 20:39:15,0
2026-03-11 20:39:30,0
2026-03-11 20:39:45,1
2026-03-11 20:40:00,0
2026-03-11 20:40:15,0
2026-03-11 20:40:30,0
2026-03-11 20:40:45,0
2026-03-11 20:41:00,0
2026-03-11 20:41:15,0
2026-03-11 20:41:30,0
2026-03-11 20:41:45,0
2026-03-11 20:42:00,0
2026-03-11 20:42:15,0
2026-03-11 20:42:30,1
2026-03-11 20:42:45,0
2026-03-11 20:43:00,0
2026-03-11 20:43:15,0
2026-03-11 20:43:30,0
2026-03-11 20:43:45,0
2026-03-11 20:44:00,0
2026-03-11 20:44:15,0
2026-03-11 20:44:30,0
2026-03-11 20:44:45,0
2026-03-11 20:45:00,0
2026-03-11 20:45:15,0
2026-03-11 20:45:30,0
2026-03-11 20:45:45,0
2026-03-11 20:46:00,0
2026-03-11 20:46:15,0
2026-03-11 20:46:30,0
2026-03-11 20:46:45,0
2026-03-11 20:47:00,0
2026-03-11 20:47:15,0
2026-03-11 20:47:30,0
2026-03-11 20:47:45,0
2026-03-11 20:48:00,0
2026-03-11 20:48:15,0
2026-03-11 20:48:30,0
2026-03-11 20:48:45,0
2026-03-11 20:49:00,0
2026-03-11 20:49:15,0
2026-03-11 20:49:30,0
2026-03-11 20:49:45,0
2026-03-11 20:50:00,0
2026-03-11 20:50:15,0
2026-03-11 20:50:30,0
2026-03-11 20:50:45,0
2026-03-11 20:51:00,0
2026-03-11 20:51:15,0
2026-03-11 20:51:30,0
2026-03-11 20:51:45,1
