#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	conn
#open	2026-02-11-18-01-54
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	proto	service	duration	orig_bytes	resp_bytes	conn_state	local_orig	local_resp	missed_bytes	history	orig_pkts	orig_ip_bytes	resp_pkts	resp_ip_bytes	tunnel_parents
#types	time	string	addr	port	addr	port	enum	string	interval	count	count	string	bool	bool	count	string	count	count	count	count	set[string]
1770832853.321047	CuYM4K1HHBiAqjSqK1	192.168.56.30	138	192.168.56.255	138	udp	-	-	-	-	S0	T	T	0	D	1	229	0	0	-
1770833273.827360	C66BBG42dDaunaqGFi	192.168.56.30	50118	192.168.56.10	8080	tcp	-	0.000320	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833274.335527	C32SoN1sdsGQK36AZ7	192.168.56.30	50118	192.168.56.10	8080	tcp	-	0.004853	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833274.738590	CtpqHZ1MQVUMy7C2vc	192.168.56.30	50119	192.168.56.10	8080	tcp	-	0.000242	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833274.859108	C2e4o944uMkjUWwNQ	192.168.56.30	50118	192.168.56.10	8080	tcp	-	0.001678	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833275.253211	CYuXxhKf0gsAce4Ne	192.168.56.30	50119	192.168.56.10	8080	tcp	-	0.000344	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833275.371571	CCMkmg1y2CB2cSKV21	192.168.56.30	50118	192.168.56.10	8080	tcp	-	0.000013	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833275.765046	C5iHHE1Y2N3raZEgr8	192.168.56.30	50119	192.168.56.10	8080	tcp	-	0.000354	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833276.280151	CcINO53pblxfYXSnl1	192.168.56.30	50119	192.168.56.10	8080	tcp	-	0.000358	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833276.813636	Cdqozl2s7LVXrRnUr6	192.168.56.30	50120	192.168.56.10	8080	tcp	-	0.000790	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770832179.894720	CfallI2CSKp6xSAKil	192.168.56.30	49954	192.168.56.10	8080	tcp	http	1092.718297	113717	283164	SF	T	T	0	ShADadtfF	630	138953	540	305012	-
1770832135.227395	C8YVvj1NKSpBm7MXcb	192.168.56.30	49945	192.168.56.10	8080	tcp	http	1137.385707	120901	285288	RSTR	T	T	0	ShADadtr	662	147465	562	308488	-
1770831254.250408	CEii2I2OFSOUkiQpW9	192.168.56.10	4444	192.168.56.15	34392	tcp	-	2018.362744	4352	4896	SF	T	T	0	DdAFf	70	7992	35	6716	-
1770833272.629718	CuRO0c2lEWYbsH9VYa	192.168.56.15	39804	192.168.56.10	4444	tcp	-	0.000798	0	0	REJ	T	T	0	Sr	1	60	1	40	-
1770833272.631686	CXJdNx21p6yF7HrZtc	192.168.56.15	39814	192.168.56.10	4444	tcp	-	0.000341	0	0	REJ	T	T	0	Sr	1	60	1	40	-
1770833277.220375	Cfcx6P37Xb8dAVBiL3	192.168.56.30	50121	192.168.56.10	8080	tcp	-	0.000271	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833277.330039	CaAF0J2B17gTWP9aUf	192.168.56.30	50120	192.168.56.10	8080	tcp	-	0.000362	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833277.748511	CR3MLw1QhnuYPavUHg	192.168.56.30	50121	192.168.56.10	8080	tcp	-	0.000275	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833277.845094	C06Fv83VcriECd6tMe	192.168.56.30	50120	192.168.56.10	8080	tcp	-	0.000246	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833278.253740	CrUttKmAnBWM19VFf	192.168.56.30	50121	192.168.56.10	8080	tcp	-	0.000430	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833278.362186	CFUPOL2oJNFZf7U60i	192.168.56.30	50120	192.168.56.10	8080	tcp	-	0.000380	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833278.781310	CaFi441b7YkjX1s0ja	192.168.56.30	50121	192.168.56.10	8080	tcp	-	0.000423	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833278.900112	CPnIA43Bfwo8xnPMic	192.168.56.30	50122	192.168.56.10	8080	tcp	-	0.000459	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833279.406321	Ccs3KP3Ly5MkjTxvbj	192.168.56.30	50122	192.168.56.10	8080	tcp	-	0.000265	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833279.923398	CanHG02BRSBguikp7k	192.168.56.30	50122	192.168.56.10	8080	tcp	-	0.003627	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833275.894206	CT4P3b29JvmwFLCsI8	192.168.56.30	50118	192.168.56.10	8080	tcp	-	0.000241	0	0	REJ	T	T	0	Sr	1	52	1	40	-
