#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	conn
#open	2026-02-13-06-41-41
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	proto	service	duration	orig_bytes	resp_bytes	conn_state	local_orig	local_resp	missed_bytes	history	orig_pkts	orig_ip_bytes	resp_pkts	resp_ip_bytes	tunnel_parents
#types	time	string	addr	port	addr	port	enum	string	interval	count	count	string	bool	bool	count	string	count	count	count	count	set[string]
1770964841.222981	CgxtJi2vOzBRKDwQt3	fe80::a00:27ff:fe4e:aa95	133	ff02::2	134	icmp	-	-	-	-	OTH	T	F	0	-	1	56	0	0	-
1770964849.640231	CrcbQL3YjtvGkEfzt7	192.168.56.30	138	192.168.56.255	138	udp	-	-	-	-	S0	T	T	0	D	1	229	0	0	-
1770964927.721217	C7AlyM3jKrCMb4Jgz6	192.168.56.15	5353	224.0.0.251	5353	udp	dns	-	-	-	S0	T	F	0	D	1	73	0	0	-
1770964998.106270	CfqNN52HmWSDhIj1nb	192.168.56.30	50378	192.168.56.10	8080	tcp	http	20.467613	381	178903	SF	T	T	0	ShADadfF	10	793	126	183955	-
1770965011.317690	C5pIaaQWOEGcU3017	192.168.56.15	138	192.168.56.255	138	udp	-	0.001422	445	0	S0	T	T	0	D	2	501	0	0	-
1770965062.116620	CKOvq54Q0PuOVVEpre	192.168.56.30	50503	192.168.56.10	8080	tcp	http	20.206825	381	178903	SF	T	T	0	ShADadfF	10	793	126	183955	-
1770965040.202604	CBWA593ZPkhMfYwbZ5	192.168.56.30	52728	239.255.255.250	1900	udp	-	6.242453	411	0	S0	T	F	0	D	3	495	0	0	-
1770964826.890651	CLUwVmXscoep3exOd	192.168.56.10	1514	192.168.56.30	50274	tcp	-	22.511788	1	0	SF	T	T	0	AafF	2	80	3	120	-
1770964849.403109	CPTwkB1u6v20oDCu08	192.168.56.30	50294	192.168.56.10	1514	tcp	-	305.883011	785494	91202	SF	T	T	0	ShADadFf	1489	845066	1505	151414	-
1770965321.951642	CMTfDK2phozmDePAa8	192.168.56.15	138	192.168.56.255	138	udp	-	0.000657	445	0	S0	T	T	0	D	2	501	0	0	-
1770965439.948281	CGVyQL3pP5j4hq7CTc	192.168.56.15	5353	224.0.0.251	5353	udp	dns	-	-	-	S0	T	F	0	D	1	73	0	0	-
1770965568.794221	CuR8Lm2Ohe8Pj6vJNh	192.168.56.30	138	192.168.56.255	138	udp	-	-	-	-	S0	T	T	0	D	1	229	0	0	-
1770965682.652946	CrlhMz1CFfcm7znJCl	192.168.56.15	138	192.168.56.255	138	udp	-	0.000191	445	0	S0	T	T	0	D	2	501	0	0	-
#close	2026-02-13-07-00-00
