idx,total_bytes
2,0.513127
3,0.546681
4,0.532993
5,0.515411
7,10.017056
8,0.528156
9,0.50029
10,0.516046
11,0.517034
14,10.031169
15,0.530333
16,0.517757
17,0.525542
18,0.518132
20,10.018492
21,0.52945
22,0.532508
23,0.515145
24,0.530751
25,0.00206
26,0.521449
28,0.500817
29,0.504554
30,0.507802
32,10.027158
33,0.520186
34,0.510293
35,0.512267
36,0.502036
38,10.017303
39,0.515308
40,0.561191
41,0.527682
42,0.534206
45,10.003
46,0.5133
47,0.532506
48,0.533826
49,0.514878
51,10.031601
52,0.517483
53,0.525899
54,0.561782
55,0.518414
57,10.030629
59,0.557925
60,0.53404
61,0.515325
62,0.534839
63,0.002158
64,0.520344
65,0.505922
66,0.532304
67,0.531028
69,10.027066
70,0.534019
71,0.518107
72,0.531866
73,0.557725
76,10.004285
77,0.529312
78,0.530932
79,0.523564
80,0.517667
82,10.018354
83,0.500953
84,0.516929
85,0.501027
87,0.533949
89,10.011135
90,0.53077
91,0.50107
92,0.501322
93,0.513251
95,10.015917
96,0.502414
97,0.530378
98,0.50223
99,0.529888
100,0.002062
101,0.543715
102,0.561847
103,0.503907
104,0.531451
107,10.029617
108,0.532994
109,0.511956
110,0.532265
111,0.529237
113,10.033944
114,0.563069
115,0.238407
116,0.275904
118,0.531532
119,0.501319
121,10.014706
122,0.5123
123,0.511115
124,0.510097
125,0.531342
127,10.011495
128,0.533152
129,0.5299
130,0.562818
131,0.530314
134,10.017435
135,0.501469
136,0.510656
137,0.506555
138,0.511969
139,0.003007
140,0.557838
141,0.531426
142,0.517169
144,0.526719
146,10.003707
147,0.517008
149,0.527473
150,0.50323
151,0.529532
153,10.018179
154,0.511751
155,0.533662
156,0.51588
157,0.51994
159,10.027836
160,0.517975
161,0.528335
162,0.506453
163,0.501298
166,10.00833
167,0.505036
168,0.509531
169,0.514198
170,0.524338
172,10.011864
173,0.528735
174,0.54574
175,0.529859
176,0.536898
177,0.002252
179,0.510414
180,0.53028
181,0.52482
182,0.521402
184,10.035532
